id,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
100,American,Expensive,Queens,11am-9pm,3.1,true
101,Mexican,Expensive,Queens,11am-9pm,2.3,true
102,Mexican,Medium,Staten Island,11am-9pm,3.7,true
103,Italian,Medium,Bronx,5pm-11pm,3.6,false
104,Chinese,Medium,Queens,11am-9pm,3.1,false
105,Chinese,Cheap,Manhattan,8am-10pm,4.4,false
106,Chinese,Medium,Bronx,11am-9pm,3.2,false
107,Mexican,Expensive,Staten Island,11am-9pm,2.0,false
108,Italian,Medium,Manhattan,5pm-11pm,1.6,true
109,Italian,Medium,Bronx,8am-10pm,3.6,true
110,American,Medium,Brooklyn,8am-10pm,2.5,true
111,Italian,Cheap,Manhattan,11am-9pm,4.7,false
112,Chinese,Cheap,Staten Island,11am-9pm,4.2,false
113,American,Medium,Brooklyn,8am-10pm,1.3,true
114,Italian,Medium,Manhattan,8am-10pm,3.5,false
115,Chinese,Expensive,Bronx,11am-9pm,2.5,true
116,Chinese,Expensive,Manhattan,11am-9pm,1.9,false
117,Mexican,Medium,Manhattan,11am-9pm,2.4,false
118,Mexican,Cheap,Queens,8am-10pm,1.1,false
119,Mexican,Cheap,Bronx,5pm-11pm,3.6,false
120,Mexican,Cheap,Bronx,5pm-11pm,1.8,false
121,Chinese,Medium,Brooklyn,11am-9pm,2.8,true
122,Mexican,Medium,Manhattan,11am-9pm,2.4,false
123,American,Expensive,Brooklyn,8am-10pm,2.9,true
124,American,Medium,Queens,5pm-11pm,1.9,true
125,American,Medium,Bronx,11am-9pm,3.4,false
126,Italian,Expensive,Queens,5pm-11pm,4.0,false
127,Mexican,Medium,Staten Island,8am-10pm,4.1,false
128,Italian,Cheap,Brooklyn,5pm-11pm,4.8,false
129,Japanese,Expensive,Queens,11am-9pm,1.1,false
130,Chinese,Medium,Manhattan,11am-9pm,4.5,false
131,Chinese,Medium,Bronx,8am-10pm,1.7,false
132,Mexican,Cheap,Staten Island,8am-10pm,3.4,true
133,Japanese,Expensive,Brooklyn,11am-9pm,3.8,false
134,Mexican,Cheap,Brooklyn,8am-10pm,2.9,true
135,Japanese,Expensive,Staten Island,5pm-11pm,1.4,true
136,Mexican,Expensive,Brooklyn,11am-9pm,2.3,false
137,Japanese,Cheap,Staten Island,5pm-11pm,1.7,true
138,Italian,Expensive,Staten Island,11am-9pm,1.5,false
139,Japanese,Expensive,Brooklyn,8am-10pm,1.1,true
140,Chinese,Expensive,Queens,11am-9pm,5.0,false
141,American,Cheap,Staten Island,5pm-11pm,3.8,false
142,Japanese,Medium,Queens,11am-9pm,3.2,false
143,Chinese,Cheap,Manhattan,5pm-11pm,3.0,true
144,Japanese,Medium,Queens,8am-10pm,1.6,false
145,Chinese,Expensive,Queens,5pm-11pm,2.7,false
146,Japanese,Cheap,Queens,8am-10pm,3.4,false
147,Italian,Medium,Brooklyn,5pm-11pm,1.2,false
148,Mexican,Cheap,Manhattan,11am-9pm,2.1,true
149,Italian,Cheap,Queens,8am-10pm,3.1,true
150,Chinese,Medium,Brooklyn,11am-9pm,3.2,true
151,American,Expensive,Staten Island,5pm-11pm,4.7,true
152,Chinese,Medium,Manhattan,11am-9pm,3.5,false
153,Mexican,Expensive,Brooklyn,8am-10pm,4.6,false
154,Mexican,Expensive,Staten Island,11am-9pm,4.9,true
155,Chinese,Expensive,Queens,5pm-11pm,4.4,true
156,Japanese,Cheap,Manhattan,5pm-11pm,1.6,false
157,Japanese,Medium,Bronx,8am-10pm,1.2,true
158,American,Expensive,Manhattan,11am-9pm,4.9,false
159,Chinese,Expensive,Queens,5pm-11pm,4.7,false
160,Japanese,Cheap,Brooklyn,8am-10pm,2.8,false
161,Italian,Expensive,Queens,5pm-11pm,4.0,false
162,Mexican,Cheap,Bronx,11am-9pm,1.3,true
163,Italian,Cheap,Queens,11am-9pm,1.4,true
164,Chinese,Expensive,Queens,5pm-11pm,1.6,true
165,Italian,Medium,Queens,8am-10pm,3.8,false
166,Japanese,Expensive,Brooklyn,11am-9pm,4.1,false
167,Chinese,Medium,Bronx,8am-10pm,3.7,true
168,Japanese,Medium,Queens,5pm-11pm,3.1,false
169,Mexican,Cheap,Staten Island,8am-10pm,3.1,false
170,Italian,Medium,Brooklyn,8am-10pm,4.6,true
171,American,Cheap,Queens,5pm-11pm,2.5,true
172,Mexican,Cheap,Bronx,8am-10pm,2.1,true
173,American,Expensive,Brooklyn,8am-10pm,3.4,false
174,Japanese,Cheap,Manhattan,5pm-11pm,4.0,true
175,Japanese,Medium,Staten Island,8am-10pm,3.4,false
176,Chinese,Medium,Bronx,11am-9pm,1.2,true
177,Italian,Cheap,Queens,11am-9pm,4.5,false
178,Japanese,Medium,Bronx,5pm-11pm,4.5,true
179,Mexican,Medium,Queens,11am-9pm,1.2,true
180,Japanese,Medium,Brooklyn,5pm-11pm,4.3,false
181,American,Cheap,Queens,8am-10pm,3.5,true
182,American,Cheap,Bronx,8am-10pm,2.8,false
183,Mexican,Expensive,Bronx,8am-10pm,3.5,true
184,Italian,Medium,Staten Island,8am-10pm,4.4,false
185,Japanese,Expensive,Staten Island,5pm-11pm,4.1,false
186,Chinese,Cheap,Manhattan,8am-10pm,3.9,true
187,American,Cheap,Staten Island,8am-10pm,1.2,true
188,Mexican,Cheap,Staten Island,5pm-11pm,2.6,true
189,American,Cheap,Staten Island,8am-10pm,2.2,false
190,Japanese,Cheap,Queens,5pm-11pm,3.2,true
191,Chinese,Expensive,Staten Island,8am-10pm,4.3,false
192,American,Cheap,Staten Island,5pm-11pm,4.4,false
193,Mexican,Medium,Manhattan,8am-10pm,1.1,true
194,Italian,Medium,Bronx,11am-9pm,2.4,false
195,Italian,Cheap,Brooklyn,8am-10pm,1.9,true
196,Japanese,Medium,Manhattan,8am-10pm,4.5,false
197,Chinese,Medium,Bronx,5pm-11pm,3.0,false
198,Chinese,Medium,Queens,8am-10pm,3.2,true
199,Italian,Expensive,Staten Island,11am-9pm,2.1,false
200,Italian,Expensive,Queens,11am-9pm,3.7,true
201,Chinese,Medium,Queens,5pm-11pm,3.3,false
202,Italian,Cheap,Queens,8am-10pm,2.1,false
203,Mexican,Medium,Queens,8am-10pm,2.3,true
204,Mexican,Expensive,Queens,11am-9pm,4.8,true
205,Japanese,Medium,Queens,8am-10pm,2.6,false
206,Italian,Expensive,Brooklyn,8am-10pm,4.4,true
207,Chinese,Cheap,Queens,5pm-11pm,4.5,false
208,Japanese,Cheap,Queens,11am-9pm,5.0,false
209,Chinese,Cheap,Queens,5pm-11pm,1.3,true
210,Japanese,Expensive,Manhattan,8am-10pm,1.1,false
211,Mexican,Expensive,Manhattan,8am-10pm,5.0,true
212,Chinese,Cheap,Bronx,8am-10pm,3.1,false
213,Italian,Cheap,Queens,8am-10pm,2.1,true
214,Japanese,Cheap,Staten Island,11am-9pm,2.4,true
215,Chinese,Medium,Queens,5pm-11pm,3.7,true
216,Chinese,Expensive,Staten Island,11am-9pm,3.6,true
217,American,Cheap,Brooklyn,11am-9pm,1.2,true
218,Chinese,Expensive,Manhattan,11am-9pm,5.0,false
219,Chinese,Cheap,Brooklyn,5pm-11pm,3.3,true
220,American,Medium,Brooklyn,11am-9pm,4.6,false
221,Mexican,Expensive,Queens,5pm-11pm,4.5,false
222,Japanese,Expensive,Manhattan,8am-10pm,2.9,true
223,Japanese,Expensive,Staten Island,8am-10pm,4.1,true
224,Italian,Cheap,Staten Island,8am-10pm,2.2,true
225,Japanese,Expensive,Bronx,5pm-11pm,1.5,false
226,American,Medium,Queens,8am-10pm,4.1,true
227,Italian,Medium,Bronx,11am-9pm,3.4,true
228,Mexican,Medium,Bronx,5pm-11pm,4.0,true
229,Chinese,Cheap,Bronx,5pm-11pm,1.8,false
230,Italian,Cheap,Brooklyn,11am-9pm,2.4,true
231,Japanese,Cheap,Brooklyn,11am-9pm,3.1,true
232,Mexican,Expensive,Manhattan,5pm-11pm,3.9,true
233,Italian,Expensive,Bronx,5pm-11pm,1.3,true
234,Mexican,Expensive,Queens,8am-10pm,2.5,true
235,Italian,Expensive,Brooklyn,5pm-11pm,3.0,true
236,Italian,Cheap,Bronx,5pm-11pm,2.1,false
237,Italian,Medium,Brooklyn,5pm-11pm,2.1,true
238,Mexican,Cheap,Manhattan,5pm-11pm,1.8,true
239,American,Medium,Brooklyn,8am-10pm,4.3,false
240,Chinese,Expensive,Manhattan,8am-10pm,3.5,false
241,Japanese,Medium,Bronx,8am-10pm,4.2,false
242,American,Medium,Bronx,5pm-11pm,1.5,false
243,Chinese,Expensive,Queens,5pm-11pm,3.9,false
244,Italian,Cheap,Queens,11am-9pm,2.5,false
245,Chinese,Cheap,Brooklyn,5pm-11pm,1.1,true
246,Japanese,Expensive,Bronx,8am-10pm,2.0,true
247,Japanese,Cheap,Staten Island,11am-9pm,2.5,false
248,American,Expensive,Bronx,11am-9pm,2.6,true
249,American,Cheap,Brooklyn,5pm-11pm,4.9,false
250,American,Medium,Queens,11am-9pm,3.5,true
251,American,Cheap,Queens,5pm-11pm,3.3,false
252,Chinese,Cheap,Brooklyn,11am-9pm,4.1,true
253,Japanese,Cheap,Staten Island,8am-10pm,1.1,true
254,Italian,Expensive,Manhattan,11am-9pm,3.0,false
255,American,Medium,Brooklyn,8am-10pm,2.9,false
256,American,Medium,Queens,11am-9pm,1.2,false
257,Japanese,Medium,Bronx,5pm-11pm,1.9,true
258,Mexican,Expensive,Staten Island,5pm-11pm,4.5,true
259,Mexican,Medium,Manhattan,8am-10pm,2.0,true
260,Mexican,Medium,Manhattan,11am-9pm,3.7,true
261,Mexican,Cheap,Brooklyn,8am-10pm,3.8,true
262,Italian,Medium,Bronx,11am-9pm,1.3,false
263,Japanese,Cheap,Bronx,11am-9pm,2.8,true
264,Italian,Expensive,Manhattan,11am-9pm,3.2,false
265,Chinese,Cheap,Staten Island,8am-10pm,2.3,true
266,Japanese,Expensive,Brooklyn,5pm-11pm,2.3,false
267,American,Medium,Manhattan,8am-10pm,4.9,false
268,Italian,Expensive,Staten Island,8am-10pm,1.1,true
269,Chinese,Medium,Bronx,8am-10pm,4.0,false
270,American,Medium,Staten Island,11am-9pm,2.8,true
271,American,Expensive,Brooklyn,11am-9pm,3.4,false
272,Japanese,Cheap,Staten Island,11am-9pm,3.3,false
273,Japanese,Medium,Manhattan,8am-10pm,4.6,false
274,Japanese,Cheap,Queens,11am-9pm,1.8,true
275,Japanese,Medium,Manhattan,5pm-11pm,4.7,false
276,American,Expensive,Manhattan,8am-10pm,4.2,false
277,Italian,Expensive,Staten Island,11am-9pm,1.5,true
278,Italian,Cheap,Queens,8am-10pm,4.2,false
279,Chinese,Expensive,Staten Island,5pm-11pm,1.4,false
280,Japanese,Cheap,Manhattan,8am-10pm,4.0,false
281,American,Cheap,Staten Island,5pm-11pm,2.7,true
282,Italian,Medium,Bronx,5pm-11pm,4.6,false
283,American,Expensive,Brooklyn,8am-10pm,1.2,false
284,Mexican,Cheap,Bronx,11am-9pm,3.0,true
285,Japanese,Medium,Bronx,11am-9pm,4.1,false
286,Chinese,Cheap,Queens,5pm-11pm,2.6,true
287,Chinese,Cheap,Staten Island,5pm-11pm,3.0,true
288,Italian,Medium,Queens,11am-9pm,3.8,false
289,Japanese,Cheap,Brooklyn,5pm-11pm,2.1,true
290,Chinese,Medium,Brooklyn,8am-10pm,4.9,false
291,Mexican,Medium,Staten Island,8am-10pm,4.8,true
292,Mexican,Cheap,Brooklyn,5pm-11pm,4.0,true
293,Mexican,Cheap,Staten Island,11am-9pm,2.2,true
294,Italian,Expensive,Queens,8am-10pm,4.3,false
295,Japanese,Expensive,Queens,5pm-11pm,4.1,false
296,Chinese,Expensive,Queens,11am-9pm,2.1,true
297,American,Cheap,Bronx,11am-9pm,1.1,false
298,Chinese,Medium,Brooklyn,11am-9pm,4.5,false
299,Chinese,Medium,Staten Island,5pm-11pm,4.5,false
300,Italian,Medium,Staten Island,11am-9pm,4.2,false
301,Mexican,Cheap,Brooklyn,5pm-11pm,1.5,false
302,Japanese,Expensive,Brooklyn,5pm-11pm,4.1,false
303,Mexican,Cheap,Brooklyn,11am-9pm,4.6,false
304,Japanese,Expensive,Staten Island,5pm-11pm,1.9,true
305,American,Cheap,Brooklyn,8am-10pm,1.5,true
306,Japanese,Medium,Staten Island,5pm-11pm,2.4,false
307,Chinese,Expensive,Queens,11am-9pm,3.7,true
308,American,Cheap,Manhattan,11am-9pm,2.2,true
309,Chinese,Expensive,Brooklyn,5pm-11pm,3.8,false
310,American,Medium,Queens,11am-9pm,3.1,false
311,Italian,Medium,Queens,5pm-11pm,3.1,false
312,Italian,Medium,Manhattan,5pm-11pm,2.4,true
313,American,Expensive,Queens,11am-9pm,4.7,false
314,American,Cheap,Queens,8am-10pm,4.4,true
315,Japanese,Medium,Brooklyn,8am-10pm,1.7,false
316,American,Expensive,Queens,8am-10pm,3.4,true
317,American,Cheap,Manhattan,8am-10pm,2.9,true
318,American,Expensive,Manhattan,11am-9pm,3.9,false
319,Chinese,Expensive,Staten Island,5pm-11pm,4.5,false
320,American,Cheap,Queens,11am-9pm,1.7,true
321,American,Cheap,Brooklyn,5pm-11pm,1.3,false
322,Mexican,Cheap,Bronx,5pm-11pm,1.4,false
323,Japanese,Medium,Staten Island,8am-10pm,1.9,true
324,Chinese,Medium,Staten Island,11am-9pm,1.8,true
325,Chinese,Expensive,Queens,11am-9pm,1.2,false
326,Mexican,Cheap,Queens,11am-9pm,4.3,true
327,Italian,Expensive,Manhattan,11am-9pm,2.8,false
328,Italian,Cheap,Bronx,8am-10pm,3.2,true
329,Japanese,Cheap,Queens,11am-9pm,1.6,true
330,Mexican,Cheap,Queens,8am-10pm,3.6,true
331,Chinese,Expensive,Queens,5pm-11pm,1.7,false
332,Chinese,Cheap,Manhattan,8am-10pm,3.9,true
333,Chinese,Cheap,Manhattan,5pm-11pm,2.2,true
334,Chinese,Medium,Staten Island,11am-9pm,3.4,true
335,American,Expensive,Queens,8am-10pm,4.2,false
336,Japanese,Medium,Bronx,11am-9pm,3.1,true
337,Japanese,Expensive,Manhattan,11am-9pm,2.7,false
338,Mexican,Expensive,Bronx,11am-9pm,4.5,false
339,American,Medium,Brooklyn,8am-10pm,4.1,false
340,Chinese,Expensive,Brooklyn,8am-10pm,2.8,true
341,Japanese,Medium,Brooklyn,8am-10pm,3.5,true
342,Mexican,Expensive,Bronx,8am-10pm,4.9,false
343,American,Medium,Bronx,5pm-11pm,1.6,false
344,Japanese,Cheap,Staten Island,11am-9pm,3.4,false
345,Italian,Cheap,Manhattan,11am-9pm,3.7,false
346,Italian,Expensive,Bronx,5pm-11pm,1.6,false
347,American,Expensive,Staten Island,5pm-11pm,1.2,true
348,Italian,Medium,Staten Island,5pm-11pm,5.0,false
349,American,Expensive,Brooklyn,11am-9pm,4.2,false
350,Chinese,Cheap,Bronx,11am-9pm,2.4,false
351,Italian,Medium,Brooklyn,11am-9pm,5.0,true
352,Mexican,Medium,Bronx,8am-10pm,1.9,false
353,Italian,Cheap,Manhattan,5pm-11pm,3.1,true
354,Mexican,Medium,Bronx,5pm-11pm,3.7,true
355,Italian,Cheap,Bronx,11am-9pm,4.5,true
356,American,Medium,Queens,5pm-11pm,4.0,true
357,Italian,Medium,Brooklyn,11am-9pm,1.8,false
358,American,Medium,Manhattan,8am-10pm,1.9,false
359,American,Medium,Brooklyn,11am-9pm,1.4,true
360,Italian,Medium,Queens,5pm-11pm,2.7,false
361,Japanese,Medium,Bronx,5pm-11pm,4.8,true
362,Italian,Medium,Queens,8am-10pm,4.6,false
363,Japanese,Cheap,Brooklyn,8am-10pm,1.0,true
364,American,Cheap,Manhattan,5pm-11pm,3.7,true
365,American,Expensive,Manhattan,8am-10pm,4.9,true
366,Mexican,Cheap,Manhattan,11am-9pm,4.9,false
367,Mexican,Expensive,Brooklyn,11am-9pm,4.3,false
368,American,Expensive,Staten Island,11am-9pm,1.2,false
369,Italian,Cheap,Brooklyn,11am-9pm,2.4,false
370,Italian,Cheap,Manhattan,11am-9pm,4.1,true
371,Mexican,Expensive,Manhattan,11am-9pm,1.6,false
372,Mexican,Cheap,Brooklyn,5pm-11pm,2.4,true
373,Italian,Cheap,Brooklyn,11am-9pm,2.6,true
374,Japanese,Expensive,Queens,5pm-11pm,1.3,false
375,Mexican,Expensive,Bronx,8am-10pm,2.4,false
376,Mexican,Expensive,Queens,5pm-11pm,1.7,false
377,Chinese,Cheap,Queens,11am-9pm,4.5,true
378,American,Expensive,Queens,5pm-11pm,2.1,false
379,Mexican,Medium,Staten Island,11am-9pm,3.5,true
380,Italian,Cheap,Brooklyn,11am-9pm,3.0,false
381,Italian,Medium,Manhattan,5pm-11pm,4.0,false
382,Mexican,Expensive,Staten Island,11am-9pm,1.5,true
383,American,Medium,Bronx,5pm-11pm,3.1,true
384,American,Cheap,Brooklyn,5pm-11pm,3.5,false
385,Mexican,Cheap,Queens,11am-9pm,1.1,false
386,Japanese,Medium,Brooklyn,11am-9pm,2.8,false
387,Italian,Expensive,Queens,8am-10pm,2.6,true
388,Italian,Expensive,Staten Island,11am-9pm,3.8,false
389,American,Medium,Brooklyn,8am-10pm,2.4,false
390,American,Cheap,Bronx,8am-10pm,2.6,true
391,Japanese,Expensive,Manhattan,8am-10pm,1.2,true
392,Italian,Cheap,Bronx,11am-9pm,4.0,false
393,Chinese,Cheap,Bronx,8am-10pm,4.7,false
394,Italian,Cheap,Queens,11am-9pm,4.7,true
395,Mexican,Expensive,Brooklyn,8am-10pm,3.9,false
396,American,Cheap,Brooklyn,8am-10pm,4.4,false
397,Mexican,Cheap,Queens,5pm-11pm,4.2,false
398,Mexican,Expensive,Brooklyn,11am-9pm,1.9,false
399,Italian,Expensive,Staten Island,11am-9pm,1.9,false
400,American,Cheap,Brooklyn,8am-10pm,1.5,true
401,American,Medium,Staten Island,11am-9pm,3.5,false
402,Japanese,Cheap,Bronx,8am-10pm,4.7,true
403,American,Expensive,Queens,5pm-11pm,1.2,true
404,Chinese,Cheap,Manhattan,11am-9pm,4.0,false
405,American,Expensive,Manhattan,11am-9pm,3.7,true
406,Chinese,Medium,Queens,5pm-11pm,3.0,false
407,Italian,Expensive,Manhattan,8am-10pm,2.1,false
408,Italian,Cheap,Bronx,11am-9pm,2.4,true
409,Mexican,Medium,Staten Island,11am-9pm,4.0,false
410,Chinese,Expensive,Bronx,8am-10pm,3.9,false
411,Japanese,Cheap,Bronx,8am-10pm,1.8,false
412,Italian,Cheap,Manhattan,8am-10pm,3.3,false
413,Italian,Expensive,Queens,11am-9pm,3.0,true
414,Italian,Cheap,Brooklyn,5pm-11pm,3.7,true
415,Chinese,Cheap,Manhattan,5pm-11pm,1.0,false
416,Italian,Medium,Manhattan,5pm-11pm,3.3,false
417,American,Medium,Bronx,11am-9pm,3.9,true
418,Japanese,Expensive,Brooklyn,11am-9pm,4.4,false
419,Italian,Cheap,Bronx,5pm-11pm,1.1,false
420,Italian,Expensive,Brooklyn,8am-10pm,4.8,true
421,Japanese,Cheap,Staten Island,8am-10pm,1.8,true
422,Japanese,Cheap,Brooklyn,11am-9pm,4.1,true
423,Italian,Medium,Brooklyn,5pm-11pm,2.4,false
424,Mexican,Expensive,Staten Island,5pm-11pm,1.5,false
425,Chinese,Medium,Queens,11am-9pm,4.6,true
426,Italian,Medium,Staten Island,5pm-11pm,4.5,false
427,American,Cheap,Manhattan,11am-9pm,3.2,false
428,Chinese,Cheap,Queens,5pm-11pm,2.3,true
429,Italian,Medium,Manhattan,8am-10pm,4.6,false
430,Italian,Expensive,Staten Island,8am-10pm,5.0,false
431,Mexican,Medium,Queens,5pm-11pm,2.6,true
432,American,Medium,Staten Island,5pm-11pm,4.7,false
433,Chinese,Medium,Queens,8am-10pm,3.2,false
434,Japanese,Cheap,Brooklyn,11am-9pm,3.4,true
435,Chinese,Expensive,Brooklyn,11am-9pm,4.7,false
436,Chinese,Medium,Queens,8am-10pm,2.7,false
437,Italian,Medium,Queens,8am-10pm,3.0,false
438,Italian,Medium,Queens,8am-10pm,1.6,false
439,Japanese,Expensive,Manhattan,5pm-11pm,3.1,false
440,American,Cheap,Brooklyn,11am-9pm,3.2,true
441,American,Expensive,Manhattan,8am-10pm,3.6,false
442,Japanese,Medium,Brooklyn,5pm-11pm,2.3,false
443,Mexican,Expensive,Staten Island,8am-10pm,4.8,false
444,Italian,Cheap,Brooklyn,11am-9pm,3.4,true
445,Japanese,Expensive,Queens,8am-10pm,2.2,false
446,American,Medium,Queens,5pm-11pm,1.0,true
447,Mexican,Cheap,Staten Island,8am-10pm,1.9,false
448,Japanese,Expensive,Queens,11am-9pm,5.0,true
449,Japanese,Medium,Bronx,11am-9pm,2.9,true
450,Mexican,Expensive,Queens,8am-10pm,2.6,true
451,Japanese,Expensive,Manhattan,8am-10pm,2.1,true
452,Mexican,Expensive,Bronx,5pm-11pm,1.5,false
453,American,Expensive,Manhattan,5pm-11pm,4.9,true
454,Chinese,Expensive,Staten Island,11am-9pm,1.1,false
455,Chinese,Expensive,Manhattan,5pm-11pm,3.9,false
456,Japanese,Cheap,Bronx,8am-10pm,4.6,false
457,Mexican,Expensive,Queens,8am-10pm,2.6,false
458,Italian,Expensive,Staten Island,5pm-11pm,1.8,false
459,Mexican,Expensive,Manhattan,11am-9pm,1.7,true
460,Chinese,Medium,Queens,11am-9pm,3.1,true
461,Japanese,Expensive,Staten Island,5pm-11pm,1.8,true
462,Chinese,Cheap,Staten Island,11am-9pm,1.7,false
463,American,Expensive,Brooklyn,11am-9pm,2.7,false
464,Japanese,Expensive,Queens,5pm-11pm,2.3,false
465,Japanese,Cheap,Staten Island,5pm-11pm,4.3,true
466,Italian,Medium,Brooklyn,11am-9pm,2.2,false
467,Chinese,Medium,Brooklyn,11am-9pm,4.1,false
468,Italian,Expensive,Brooklyn,11am-9pm,2.2,false
